time [s], azimuth [degrees], elevation [degrees]
1755295799.338971, 160.00197959588462, 2.3883791955946848e-09, 
1755295800.0794468, 159.9999947637157, 0.046828805402828105, 
1755295800.8199239, 159.9979953508305, 0.09374719268932001, 
1755295801.5604, 159.995981267228, 0.1407555490200115, 
1755295802.300876, 159.9939524139939, 0.18785445301279385, 
1755295803.041353, 159.9919086939718, 0.2350444878944245, 
1755295803.7818289, 159.9898500149641, 0.2823260493411445, 
1755295804.522306, 159.98777627283346, 0.3296997920889014, 
1755295805.2627819, 159.98568737563014, 0.37716611937179806, 
1755295806.003258, 159.9835832203909, 0.4247256302363414, 
1755295806.7437348, 159.981463706795, 0.4723789284344167, 
1755295807.484211, 159.9793287361899, 0.5201264283269992, 
1755295808.2246869, 159.9771782075041, 0.5679687419055526, 
1755295808.965164, 159.9750120134692, 0.615906485430048, 
1755295809.7056398, 159.9728300557004, 0.6639400851255891, 
1755295810.446116, 159.97063222788123, 0.7120701658615011, 
1755295811.1865928, 159.9684184227709, 0.7602973572263609, 
1755295811.927069, 159.96618853774524, 0.8086220974373711, 
1755295812.6675448, 159.9639424664847, 0.8570450249344973, 
1755295813.408022, 159.96168009638671, 0.9055667825991348, 
1755295814.1484978, 159.9594013249443, 0.9541878213465064, 
1755295814.888975, 159.95710603462945, 1.0029088587339985, 
1755295815.6294508, 159.95479412476394, 1.0517303544886893, 
1755295816.369927, 159.95246547727325, 1.1006529695601048, 
1755295817.110404, 159.95011998109536, 1.1496773707672616, 
1755295817.85088, 159.94775752394168, 1.1988040301476415, 
1755295818.5913558, 159.94537799198523, 1.2480336236723257, 
1755295819.331833, 159.94298126675147, 1.297366832385693, 
1755295820.072309, 159.94056723588338, 1.3468041418925298, 
1755295820.812785, 159.93813578436274, 1.3963462432449274, 
1755295821.553262, 159.93568678076375, 1.4459938315807792, 
1755295822.293738, 159.9332201260941, 1.495747407894171, 
1755295823.0342138, 159.93073568422125, 1.5456076767352414, 
1755295823.7746909, 159.92823333952623, 1.5955753504892372, 
1755295824.515167, 159.9257129711289, 1.6456509425728065, 
1755295825.2556438, 159.92317445157974, 1.6958352426104741, 
1755295825.99612, 159.92061766156849, 1.7461287742387799, 
1755295826.7365959, 159.91804247494017, 1.7965322699135817, 
1755295827.477073, 159.91544875522865, 1.8470464671849176, 
1755295828.2175488, 159.91283639096687, 1.8976719056193978, 
1755295828.958025, 159.91020524257675, 1.9484093332981864, 
1755295829.6985018, 159.90755518206353, 1.9992595054926598, 
1755295830.438978, 159.9048860810314, 2.050222975976672, 
1755295831.1794538, 159.90219780373812, 2.1013005103707303, 
1755295831.919931, 159.8994902186749, 2.1524928812015447, 
1755295832.6604068, 159.89676319319523, 2.2038006579939764, 
1755295833.400884, 159.894016585125, 2.2552246935275257, 
1755295834.1413598, 159.8912502678195, 2.3067655690373465, 
1755295834.881836, 159.8884640976256, 2.3584240794329956, 
1755295835.6223128, 159.88565793047292, 2.410201026243939, 
1755295836.362789, 159.8828316352806, 2.462097007366559, 
1755295837.1032648, 159.87998506366108, 2.5141128359137084, 
1755295837.843742, 159.8771180723339, 2.566249332470392, 
1755295838.5842178, 159.87423052195052, 2.618507111644621, 
1755295839.324694, 159.87132226483462, 2.6708870059650986, 
1755295840.065171, 159.86839314815353, 2.723389854513995, 
1755295840.805647, 159.8654430334483, 2.776016290184989, 
1755295841.5461228, 159.8624717652532, 2.828767164540479, 
1755295842.2865999, 159.85947918942924, 2.8816433366138012, 
1755295843.027076, 159.85646516174685, 2.934645457470521, 
1755295843.7675529, 159.85342952027244, 2.9877744707771723, 
1755295844.508029, 159.85037211904023, 3.041031040282054, 
1755295845.2485049, 159.84729279455524, 3.0944160511423258, 
1755295845.988982, 159.84419138835096, 3.1479303968378045, 
1755295846.7294579, 159.8410677465629, 3.2015747599790987, 
1755295847.469934, 159.8379217059682, 3.2553500473558588, 
1755295848.2104108, 159.83475309794204, 3.3092571730680853, 
1755295848.950887, 159.83156176906883, 3.36329684021872, 
1755295849.6913629, 159.82834754774277, 3.4174699768397607, 
1755295850.43184, 159.82511026351568, 3.4717775193892972, 
1755295851.1723158, 159.82184975666317, 3.526220191212609, 
1755295851.912792, 159.81856585270341, 3.5807989430460094, 
1755295852.6532688, 159.81525837543552, 3.635514733797213, 
1755295853.393745, 159.81192716247153, 3.6903683082247882, 
1755295854.1342218, 159.80857202500664, 3.7453607140890552, 
1755295854.874698, 159.80519279942493, 3.8004927108695887, 
1755295855.6151738, 159.8017893029417, 3.8557652881702342, 
1755295856.355651, 159.79836135095252, 3.911179444184889, 
1755295857.0961268, 159.79490876723324, 3.966735960003828, 
1755295857.836603, 159.79143136764816, 4.02243584992417, 
1755295858.57708, 159.78792896035475, 4.078280136512612, 
1755295859.317556, 159.78440137088577, 4.134269624617866, 
1755295860.0580318, 159.78084840386293, 4.190405353055252, 
1755295860.798509, 159.7772698629448, 4.246688369753444, 
1755295861.538985, 159.77366556745054, 4.30311950335226, 
1755295862.2794619, 159.77003531046054, 4.359699894902481, 
1755295863.019938, 159.76637890868864, 4.416430389426349, 
1755295863.760414, 159.76269615827485, 4.473312069319509, 
1755295864.500891, 159.75898685525092, 4.530346026828129, 
1755295865.2413669, 159.7552508068379, 4.5875331317147054, 
1755295865.981843, 159.751487803198, 4.644874493690287, 
1755295866.7223198, 159.74769763335843, 4.702371232358024, 
1755295867.462796, 159.74388010370467, 4.760024244045416, 
1755295868.2032719, 159.74003499427008, 4.817834666074579, 
1755295868.943749, 159.7361620897908, 4.875803646836668, 
1755295869.6842248, 159.7322611867195, 4.933932108900705, 
1755295870.424701, 159.72833206462337, 4.992221219378807, 
1755295871.1651778, 159.72437449776606, 5.050672155599608, 
1755295871.905654, 159.72038827739073, 5.109285867883726, 
1755295872.6461308, 159.7163731699394, 5.168063632767178, 
1755295873.386607, 159.71232896438383, 5.22700641985002, 
1755295874.1270828, 159.7082554210255, 5.286115445873856, 
1755295874.86756, 159.70415230981143, 5.3453919399467855, 
1755295875.6080358, 159.70001940803547, 5.404836900426716, 
1755295876.348512, 159.69585647902258, 5.464451576741925, 
1755295877.0889888, 159.69166327950896, 5.524237229366322, 
1755295877.829465, 159.68743957682932, 5.5841948866194, 
1755295878.5699408, 159.68318513207728, 5.644325831098235, 
1755295879.310418, 159.6788996884143, 5.704631355698492, 
1755295880.0508938, 159.67458301519392, 5.76511252096329, 
1755295880.79137, 159.6702348577308, 5.825770642450108, 
1755295881.531847, 159.66585495655295, 5.8866070476861765, 
1755295882.272323, 159.66144307154806, 5.947622829341674, 
1755295883.0128, 159.65699893198968, 6.008819420428184, 
1755295883.7532759, 159.65252229056864, 6.070197935632929, 
1755295884.493752, 159.6480128844008, 6.131759749777878, 
1755295885.2342288, 159.64347043526877, 6.193506249274473, 
1755295885.974705, 159.6388946910132, 6.255438583427558, 
1755295886.7151809, 159.6342853751416, 6.317558163276446, 
1755295887.455658, 159.62964220810207, 6.379866413333457, 
1755295888.1961339, 159.62496492533128, 6.442364517818929, 
1755295888.93661, 159.6202532436219, 6.505053926169986, 
1755295889.6770868, 159.61550687453322, 6.56793610138091, 
