time [ms], azimuth [degrees], elevation [degrees]
1753912456.34799, 151.96591819474452, -2.200191038396398e-09, 
1753912463.677062, 151.83466708084472, 0.46504717092384695, 
1753912471.006135, 151.69756351649357, 0.9391058293680437, 
1753912478.335207, 151.55423334719228, 1.4226998659296899, 
1753912485.66428, 151.4042706049305, 1.916393575473516, 
1753912492.993352, 151.2472342282904, 2.42079489574208, 
1753912500.3224251, 151.08264404012587, 2.936560131793431, 
1753912507.6514971, 150.909976514232, 3.464398048445908, 
1753912514.98057, 150.72865961825016, 4.005075599517478, 
1753912522.309642, 150.5380672991897, 4.559423094487195, 
1753912529.638715, 150.33751279569717, 5.128341188686633, 
1753912536.967787, 150.1262413814002, 5.712807404812246, 
1753912544.29686, 149.90342157196218, 6.313884702132734, 
1753912551.625932, 149.6681354718768, 6.932729702750811, 
1753912558.955005, 149.41936708228425, 7.570603235494166, 
1753912566.284077, 149.15598928477314, 8.228880689878478, 
1753912573.6131501, 148.8767480749603, 8.90906500468151, 
1753912580.942222, 148.58024476571055, 9.612799642095894, 
1753912588.271295, 148.26491442304325, 10.341884552299652, 
1753912595.600367, 147.92900114936697, 11.098292289387267, 
1753912602.92944, 147.57052811443455, 11.884187476520133, 
1753912610.258512, 147.18726268716287, 12.701946511799779, 
1753912617.587585, 146.77667399696924, 13.55418087095108, 
1753912624.916657, 146.33588292443304, 14.443760514901308, 
1753912632.24573, 145.86160084507628, 15.373840788387604, 
1753912639.574802, 145.35005646621474, 16.347888681945445, 
1753912646.903875, 144.79690564170585, 17.369711625775793, 
1753912654.232947, 144.19712213972826, 18.44348351961606, 
1753912661.56202, 143.54486190862085, 19.573770339818605, 
1753912668.891092, 142.8332964786468, 20.765547855404282, 
1753912676.220165, 142.05440403279914, 22.02421162602272, 
1753912683.549237, 141.1987096599294, 23.355567612075145, 
1753912690.87831, 140.25495666494794, 24.765798680230564, 
1753912698.207382, 139.2096931266371, 26.261387094772385, 
1753912705.5364552, 138.0467448594497, 27.848978049853937, 
1753912712.8655272, 136.74654715023695, 29.535148551193945, 
1753912720.1946, 135.28529101472606, 31.326046768426426, 
1753912727.523672, 133.63384210582316, 33.22683776963544, 
1753912734.852745, 131.75637600280655, 35.24088611480586, 
1753912742.181817, 129.6086944634189, 37.36856747447719, 
1753912749.51089, 127.13621199881874, 39.60559436724399, 
1753912756.839962, 124.27172476661859, 41.94070958435813, 
1753912764.169035, 120.93330437728658, 44.3526324915377, 
1753912771.498107, 117.02320293702407, 46.80620666736925, 
1753912778.8271801, 112.42962406961, 49.247944973854814, 
1753912786.1562521, 107.03485867232853, 51.60165053838963, 
1753912793.485325, 100.7351528422575, 53.765752787581214, 
1753912800.814397, 93.47790995492062, 55.61536838605627, 
1753912808.14347, 85.3152980839656, 57.013278735660556, 
1753912815.472542, 76.45495651687555, 57.83277918514178, 
1753912822.801614, 67.26626059537953, 57.988988458936575, 
1753912830.130687, 58.20822748892636, 57.46537191660204, 
1753912837.459759, 49.70317508116138, 56.31942665521988, 
1753912844.788832, 42.03341457330597, 54.66361952374377, 
1753912852.117904, 35.314772462692595, 52.63403111456499, 
1753912859.4469771, 29.533573830747557, 50.36281780470887, 
1753912866.7760491, 24.60285285735376, 47.96221591184428, 
1753912874.105122, 20.40766940658752, 45.51916052106407, 
1753912881.434194, 16.832074004812824, 43.09638541672819, 
1753912888.763267, 13.771645656128786, 40.73634449988423, 
1753912896.092339, 11.137521264235023, 38.46577080082094, 
1753912903.421412, 8.856247034730327, 36.29982992187435, 
1753912910.750484, 6.867967000707303, 34.24552068799399, 
1753912918.079557, 5.124178134651933, 32.304283164473766, 
1753912925.408629, 3.5856004549464195, 30.47392549389037, 
1753912932.7377021, 2.2203424952717685, 28.749998418718228, 
1753912940.0667741, 1.002401901357324, 27.126757563408034, 
1753912947.395847, 359.910464094281, 25.597815775057, 
1753912954.724919, 358.9269561105799, 24.156579483729523, 
1753912962.053992, 358.037300798713, 22.79652693493445, 
1753912969.383064, 357.22933319351273, 21.511382505334627, 
1753912976.712137, 356.4928394926903, 20.295214861857225, 
1753912984.041209, 355.81919474253135, 19.142489003015193, 
1753912991.370282, 355.2010739534997, 18.048083355642024, 
1753912998.699354, 354.63222319760575, 17.00728886166886, 
1753913006.0284271, 354.10727490272535, 16.01579293290401, 
1753913013.3574991, 353.6216001342758, 15.069658418900241, 
1753913020.686572, 353.17118782156405, 14.165296595856228, 
1753913028.015644, 352.7525473313203, 13.299440848633544, 
1753913035.344717, 352.3626277157575, 12.469118388767217, 
1753913042.673789, 351.99875206458154, 11.671624881372477, 
